collection_id,collection_name,holder_count,degree_centrality_weighted,total_connections,eigenvector_centrality_weighted,neighbor_influence_score,community_id,community_size,community_cohesion_score,gn_community_id,gn_community_size,gn_bridge_score,centrality_rank_degree,centrality_rank_eigenvector,rank_difference,community_agreement
0x46c66c40711a2953d1768926e53134c7ab272cd5,Blench Pass,281,1.0,45,0.18222101042736935,6.356041695428591,2,16,0.3333333333333333,1,38,0.17777777777777778,1.0,1.0,0.0,0
0x3db6c11474893689cdb9d7cdedc251532cadf32b,Mecha Box Mint Pass,294,0.9959152336881015,46,0.18123608857410656,6.401780295269286,3,21,0.43478260869565216,1,38,0.1956521739130435,2.0,3.0,-1.0,0
0xbc8f6824fde979848ad97a52bced2d6ca1842a68,Momo,548,0.9917859746080891,46,0.18136263230989333,6.401653751533499,2,16,0.32608695652173914,1,38,0.1956521739130435,3.0,2.0,1.0,0
0x2b9ee0a88d69eef1cffe3ea330165e17fd976c3c,r3tardv3rs3,266,0.9903588101245229,45,0.1794625413902547,6.358800164465706,2,16,0.3333333333333333,1,38,0.17777777777777778,4.0,4.0,0.0,0
0x49d54cd9ca8c5ecadbb346dc6b4e31549f34e405,Overnads: Whitelist Pass,510,0.9652332449681685,46,0.1678707542247157,6.415145629618677,1,11,0.1956521739130435,1,38,0.1956521739130435,5.0,17.0,-12.0,0
0xe6b5427b174344fd5cb1e3d5550306b0055473c6,Chogs Mystery Chest,800,0.9508111443495876,45,0.17672954558829249,6.3109077667418845,2,16,0.3333333333333333,1,38,0.2,6.0,9.0,-3.0,0
0x3ff5ab5eea49d25ab00b532e9e50b17d5218068c,BOBR,617,0.9382060364662729,46,0.17780220681804793,6.405214177025345,3,21,0.43478260869565216,1,38,0.1956521739130435,7.0,6.0,1.0,0
0xa980f072bc06d67faec2b03a8ada0d6c9d0da9f8,Legacy Eggs,1716,0.9381273603010778,45,0.1781410447058017,6.349971036261914,3,21,0.4444444444444444,1,38,0.17777777777777778,8.0,5.0,3.0,0
0xb0a663cf4853e67221fee43322fda402e21debfc,Llamao Genesis,459,0.9343773466997672,45,0.17384141054760616,6.357497061408198,3,21,0.4444444444444444,1,38,0.17777777777777778,9.0,12.0,-3.0,0
0x78ed9a576519024357ab06d9834266a04c9634b7,TheDaks,1442,0.9277961960037835,44,0.17729560852454132,6.2867399789737215,3,21,0.45454545454545453,1,38,0.1590909090909091,10.0,7.0,3.0,0
0x7da93750de078bfbbab0dd30635448e9ec7fb8f0,EGGcellent,564,0.9250393636522626,46,0.1691015362249716,6.413914847618421,3,21,0.43478260869565216,1,38,0.1956521739130435,11.0,15.0,-4.0,0
0x87e1f1824c9356733a25d6bed6b9c87a3b31e107,Spikes,2888,0.9206017198497851,43,0.1767988359803454,6.233766921683301,3,21,0.46511627906976744,1,38,0.13953488372093023,12.0,8.0,4.0,0
0x6ed438b2a8eff227e7e54b5324926941b140eea0,Blocknads,1603,0.9175421381499337,41,0.1758555892870912,6.10407779593035,3,21,0.4878048780487805,1,38,0.0975609756097561,13.0,10.0,3.0,0
0x7427f8f5a390cde438f229e8b4e481677ca98af5,t3mu,322,0.9084955890334261,45,0.17044197892397792,6.310713656615823,2,16,0.3333333333333333,1,38,0.17777777777777778,14.0,13.0,1.0,0
0x5a21b0f4a4f9b54e16282b6ed5ad014b3c77186f,La Mouch,2776,0.9068519257123342,41,0.17510112379026782,6.104832261427173,3,21,0.4878048780487805,1,38,0.0975609756097561,15.0,11.0,4.0,0
0xff59f1e14c4f5522158a0cf029f94475ba469458,Mystery Token,495,0.9006737814485375,46,0.1577380079999612,6.4252783758434315,1,11,0.1956521739130435,1,38,0.1956521739130435,16.0,22.0,-6.0,0
0xed52e0d80f4e7b295df5e622b55eff22d262f6ed,r3tards,317,0.8987764796952051,46,0.16962180871277288,6.41339457513062,2,16,0.32608695652173914,1,38,0.1956521739130435,17.0,14.0,3.0,0
0xf105209830ebcaef5f1b85fb3e7f44256d1af2e3,Moyaking Pass,676,0.8706393062630702,43,0.1671850696972989,6.194989769497373,2,16,0.3488372093023256,1,38,0.13953488372093023,18.0,18.0,0.0,0
0x88bbcba96a52f310497774e7fd5ebadf0ece21fb,Chewy,937,0.8685878875780505,42,0.16879154244015127,6.164648117219031,3,21,0.47619047619047616,1,38,0.11904761904761904,19.0,16.0,3.0,0
0xcd719c599ebc51193c5c97cbe188f43c8c4c8745,Lost Discs,206,0.8683707207633685,45,0.16212492713578572,6.376137778720175,3,21,0.4444444444444444,1,38,0.17777777777777778,20.0,20.0,0.0,0
0xe047e7501ac25d3003a8da147648b088d9df0b07,LootGO Looties,350,0.8519247885708048,46,0.16358110310340318,6.347034448576538,2,16,0.32608695652173914,1,38,0.1956521739130435,21.0,19.0,2.0,0
0xe8f0635591190fb626f9d13c49b60626561ed145,Skrumpets,283,0.844684062062194,45,0.15710519150658686,6.371006889461129,2,16,0.3333333333333333,1,38,0.17777777777777778,22.0,23.0,-1.0,0
0x4870e911b1986c6822a171cdf91806c3d44ce235,Sealuminati Testnetooor,3551,0.8151353189108543,40,0.15912424357895655,6.04185083492484,3,21,0.5,1,38,0.1,23.0,21.0,2.0,0
0x6341c537a6fc563029d8e8caa87da37f227358f4,Molandaks Mint Pass,546,0.8137440387923137,45,0.14715406178001708,6.28847631885168,3,21,0.4444444444444444,1,38,0.2,24.0,28.0,-4.0,0
0xd20ef03e432208af083c0fb4e401049f4f29949f,Lil chogstars Superstarlist Pass,899,0.8115244223105705,43,0.15216976766962745,6.10120174393041,2,16,0.32558139534883723,1,38,0.16279069767441862,25.0,24.0,1.0,0
0x3a9454c1b4c84d1861bb1209a647c834d137b442,The10kSquad,7515,0.7694757144415375,36,0.1510378677876875,5.67322769185459,3,21,0.5555555555555556,1,38,0.027777777777777776,26.0,25.0,1.0,0
0x9436689d617dd6696f94cd3d8bbdd234f30d2a52,ROARRR,2792,0.7600988113016841,44,0.14394772621774654,6.167782464774094,3,21,0.4318181818181818,1,38,0.20454545454545456,27.0,31.0,-4.0,0
0xd6421e9c72199e971e5a3cde09214054e1216cd2,Mondana Baddies Eye Chain,150,0.7506413604733047,42,0.14738600321169462,6.058918622355776,2,16,0.35714285714285715,1,38,0.14285714285714285,28.0,27.0,1.0,0
0x6aa4872ab4e0fdf078efd17acd45b6352f47c39c,Mon Beans,257,0.7445916892276756,41,0.14795894588798536,6.049891694494667,2,16,0.36585365853658536,1,38,0.12195121951219512,29.0,26.0,3.0,0
0x8827a10506653af9de490e160ad134e6293d3b47,Monad Nurse,109,0.7376765985618373,45,0.1447262864172042,6.3364293491225965,2,16,0.3333333333333333,1,38,0.17777777777777778,30.0,30.0,0.0,0
0xb981a81b45f604f82bd502a35c6dbe25dd2e8b8d,RealNads Premint Pass,894,0.7313138890258226,42,0.14535282410363012,6.154993478315209,2,16,0.35714285714285715,1,38,0.11904761904761904,31.0,29.0,2.0,0
0xfe5b5af24280af7ea190a41d0240fe30c46f1c40,HaHa x Mongang Pass,738,0.7226896774100076,45,0.1407796442000973,6.368009621285598,3,21,0.4444444444444444,1,38,0.17777777777777778,32.0,32.0,0.0,0
0xc5c9425d733b9f769593bd2814b6301916f91271,Purple Frens,1007,0.6876415489074541,45,0.1304760285928016,6.375794099098515,3,21,0.4444444444444444,1,38,0.17777777777777778,33.0,33.0,0.0,0
0xf981561d4d9acbb7259682a0e8b9b3a3d6975116,Gmonad,952,0.6556293284072726,43,0.13028140996765714,6.264986786467357,3,21,0.46511627906976744,1,38,0.13953488372093023,34.0,34.0,0.0,0
0x006300ab0e8969c88dcf2e7c070e6c29b6081c1f,NADSA ADMISSION TICKET,99,0.637934566572222,42,0.1260638932031831,6.10029378709213,2,16,0.35714285714285715,1,38,0.16666666666666666,35.0,35.0,0.0,0
0xa568cabe34c8ca0d2a8671009ae0f6486a314425,Meowwnads,3227,0.6160350851240325,36,0.12332724696356628,5.709160354130592,3,21,0.5277777777777778,1,38,0.027777777777777776,36.0,36.0,0.0,0
0x84db60168be10fb2ae274ea84e24cb22ffe11ddd,Mondana Baddies: Baddie Eye,193,0.5266662438830018,41,0.0851917653735753,5.836410618632833,1,11,0.21951219512195122,1,38,0.1951219512195122,37.0,39.0,-2.0,0
0x66e40f67afd710386379a6bb24d00308f81c183f,Molandaks,2670,0.5189474906267952,32,0.10186074830359172,4.938795079085766,3,21,0.625,2,1,1.0,38.0,37.0,1.0,0
0x9b72654fca42e3415a0eba357f90fa34ef0b14e4,Poply x Molandaks,196,0.5184676251418242,44,0.09537907151321531,6.184843873538702,3,21,0.45454545454545453,1,38,0.20454545454545456,39.0,38.0,1.0,0
0x4e88056e13de12bde065589e501033227d8188e6,The Daks Fantasies,206,0.4933783138177725,42,0.07751998751755741,5.778705633346817,1,11,0.23809523809523808,7,1,1.0,40.0,40.0,0.0,0
0xbb406139138401f4475ca5cf2d7152847159eb7a,SpiKeys,171,0.47422548998663644,34,0.07422711835769735,4.725856697216932,1,11,0.2647058823529412,8,1,1.0,41.0,42.0,-1.0,0
0x26c86f2835c114571df2b6ce9ba52296cc0fa6bb,Lil Chogstars,426,0.4704899664537157,40,0.07279264531663739,5.600133735592072,1,11,0.225,3,1,1.0,42.0,43.0,-1.0,0
0x151cf400af08bca390b16582ed6c4f096e4f17eb,DN,110,0.4368670173693214,39,0.06876739106324874,5.531866987850548,1,11,0.23076923076923078,10,1,1.0,43.0,44.0,-1.0,0
0xe06f294f288478671e19dba629ab003839705e95,BUNS,387,0.3821038182824941,37,0.07674625615207595,5.5369383320443895,2,16,0.3783783783783784,4,1,1.0,44.0,41.0,3.0,0
0x4bac889f20b9de43734f15379096c98f34154c50,LaMouch x Fantasytop Pass,167,0.3690583628350243,32,0.05490430287567583,4.4435246172682845,1,11,0.28125,9,1,1.0,45.0,45.0,0.0,0
