level,num_communities,modularity,max_community_size,min_community_size,avg_community_size,community_sizes
1,4,-6.477321835373087e-05,48,1,12.75,"[48, 1, 1, 1]"
2,5,0.007342913157644405,47,1,10.2,"[47, 1, 1, 1, 1]"
3,6,0.006829658808253923,46,1,8.5,"[46, 1, 1, 1, 1, 1]"
4,7,0.007282918374291119,45,1,7.285714285714286,"[45, 1, 1, 1, 1, 1, 1]"
5,8,0.009130114721720388,44,1,6.375,"[44, 1, 1, 1, 1, 1, 1, 1]"
6,9,0.012231189471779268,43,1,5.666666666666667,"[43, 1, 1, 1, 1, 1, 1, 1, 1]"
7,10,0.019005793299313203,42,1,5.1,"[42, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
8,11,0.029070233164874962,41,1,4.636363636363637,"[41, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
9,12,0.039615089307022955,40,1,4.25,"[40, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
10,13,0.037795372752221536,39,1,3.923076923076923,"[39, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
