level,num_communities,modularity,max_community_size,min_community_size,avg_community_size,community_sizes
1,3,-5.825534257921438e-07,49,1,17.0,"[49, 1, 1]"
2,4,-1.3892194401857867e-06,48,1,12.75,"[48, 1, 1, 1]"
3,5,0.0006361840081820715,47,1,10.2,"[47, 1, 1, 1, 1]"
4,6,4.409009970680319e-06,46,1,8.5,"[46, 1, 1, 1, 1, 1]"
5,7,0.00030575568847139106,45,1,7.285714285714286,"[45, 1, 1, 1, 1, 1, 1]"
6,8,-0.0012856622926311991,44,1,6.375,"[44, 1, 1, 1, 1, 1, 1, 1]"
7,9,-0.0023210018945654864,43,1,5.666666666666667,"[43, 1, 1, 1, 1, 1, 1, 1, 1]"
8,10,-0.0016766702352930918,42,1,5.1,"[42, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
9,11,-0.002936715862528947,41,1,4.636363636363637,"[41, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
10,12,-0.003788697492000885,40,1,4.25,"[40, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
