level,num_communities,modularity,max_community_size,min_community_size,avg_community_size,community_sizes
1,3,-1.0907783391150208e-08,47,1,16.333333333333332,"[47, 1, 1]"
2,4,-0.0004307324520107099,46,1,12.25,"[46, 1, 1, 1]"
3,5,-0.0007555452686706614,45,1,9.8,"[45, 1, 1, 1, 1]"
4,6,-7.988312689020567e-05,44,1,8.166666666666666,"[44, 1, 1, 1, 1, 1]"
5,7,0.001424863261074598,43,1,7.0,"[43, 1, 1, 1, 1, 1, 1]"
6,8,0.00441131626299008,42,1,6.125,"[42, 1, 1, 1, 1, 1, 1, 1]"
7,9,0.008324500654257033,41,1,5.444444444444445,"[41, 1, 1, 1, 1, 1, 1, 1, 1]"
8,10,0.012893372086223293,40,1,4.9,"[40, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
9,11,0.011112669029508972,39,1,4.454545454545454,"[39, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
10,12,0.016768728598716986,38,1,4.083333333333333,"[38, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
