gn_community_id,gn_community_size,total_holders,avg_holders,max_holders,avg_cohesion,avg_bridge_score,dominant_collections
3,40,44765,1119.125,7515,0.9147333190438101,0.08526668095618997,"The10kSquad, Sealuminati Testnetooor, Meowwnads"
0,1,50000,50000.0,50000,0.0,0.0,Nad Name Service
1,1,38311,38311.0,38311,0.0,1.0,Monadverse: Chapter 1
2,1,19860,19860.0,19860,0.0,1.0,Monadverse: Chapter 10
4,1,259,259.0,259,0.0,1.0,Monadverse Genesis Hatch
5,1,214,214.0,214,0.0,0.0,Katana Pass
6,1,206,206.0,206,0.0,1.0,The Daks Fantasies
7,1,193,193.0,193,0.0,1.0,Mondana Baddies: Baddie Eye
8,1,171,171.0,171,0.0,1.0,SpiKeys
9,1,167,167.0,167,0.0,1.0,LaMouch x Fantasytop Pass
10,1,110,110.0,110,0.0,1.0,DN
11,1,93,93.0,93,0.0,1.0,Chog Pass
