gn_community_id,gn_community_size,total_holders,avg_holders,max_holders,avg_cohesion,avg_bridge_score,dominant_collections
1,38,41475,1091.4473684210527,7515,0.8392646825992901,0.16073531740070993,"The10kSquad, Sealuminati Testnetooor, Meowwnads"
0,1,19860,19860.0,19860,0.0,0.0,Monadverse: Chapter 10
2,1,2670,2670.0,2670,0.0,1.0,Molandaks
3,1,426,426.0,426,0.0,1.0,Lil Chogstars
4,1,387,387.0,387,0.0,1.0,BUNS
5,1,259,259.0,259,0.0,1.0,Monadverse Genesis Hatch
6,1,214,214.0,214,0.0,1.0,Katana Pass
7,1,206,206.0,206,0.0,1.0,The Daks Fantasies
8,1,171,171.0,171,0.0,1.0,SpiKeys
9,1,167,167.0,167,0.0,1.0,LaMouch x Fantasytop Pass
10,1,110,110.0,110,0.0,1.0,DN
11,1,93,93.0,93,0.0,1.0,Chog Pass
