collection_id,collection_name,holder_count,community_id,community_size,total_connections,intra_community_connections,inter_community_connections,community_cohesion_score,intra_community_weight,inter_community_weight
0x3019bf1dfb84e5b46ca9d0eec37de08a59a41308,Nad Name Service,50000,0,1,0,0,0,0.0,0.0,0.0
0x49d54cd9ca8c5ecadbb346dc6b4e31549f34e405,Overnads: Whitelist Pass,510,1,10,45,9,36,0.2,0.6150223529085953,1.0369318681862691
0xff59f1e14c4f5522158a0cf029f94475ba469458,Mystery Token,495,1,10,46,9,37,0.1956521739130435,0.6066791937943915,1.0829239275178473
0x26c86f2835c114571df2b6ce9ba52296cc0fa6bb,Lil Chogstars,426,1,10,35,9,26,0.2571428571428571,0.7328577854257567,0.4386098116108448
0x2ace467d5c55d75cf04ae7b9c7672bc499d8e246,Monadverse Genesis Hatch,259,1,10,16,9,7,0.5625,0.7317108938745314,0.10597269448510047
0x4e88056e13de12bde065589e501033227d8188e6,The Daks Fantasies,206,1,10,30,9,21,0.3,0.7495342869242294,0.3457901276308908
0x84db60168be10fb2ae274ea84e24cb22ffe11ddd,Mondana Baddies: Baddie Eye,193,1,10,27,9,18,0.3333333333333333,0.7689338077905206,0.34505171454597616
0xbb406139138401f4475ca5cf2d7152847159eb7a,SpiKeys,171,1,10,28,9,19,0.32142857142857145,0.7436814048700457,0.3258469728827052
0x4bac889f20b9de43734f15379096c98f34154c50,LaMouch x Fantasytop Pass,167,1,10,20,9,11,0.45,0.38585894295603756,0.16947302449868004
0x151cf400af08bca390b16582ed6c4f096e4f17eb,DN,110,1,10,22,9,13,0.4090909090909091,0.5567013377894285,0.23492696509373137
0x7370a0a9e9a833bcd071b38fc25184e7afb57aff,Chog Pass,93,1,10,16,9,7,0.5625,0.5709684160330777,0.10667470531389327
0xe25c57ff3eea05d0f8be9aaae3f522ddc803ca4e,Monadverse: Chapter 1,38311,2,16,8,8,0,1.0,0.3915613654452529,0.0
0xa18e1c7c6e8c663c5d835fffd70ef07b482fe884,Monadverse: Chapter 10,19860,2,16,16,14,2,0.875,0.702123914726131,0.021487916927884328
0x3a9454c1b4c84d1861bb1209a647c834d137b442,The10kSquad,7515,2,16,34,15,19,0.4411764705882353,1.1636273012851404,0.4327497297744909
0x4870e911b1986c6822a171cdf91806c3d44ce235,Sealuminati Testnetooor,3551,2,16,39,15,24,0.38461538461538464,0.9495643448858372,0.572290772913159
0xa568cabe34c8ca0d2a8671009ae0f6486a314425,Meowwnads,3227,2,16,35,15,20,0.42857142857142855,0.8956772427463168,0.40415996730233716
0x87e1f1824c9356733a25d6bed6b9c87a3b31e107,Spikes,2888,2,16,40,15,25,0.375,1.2787640283844321,0.9842959781464221
0x9436689d617dd6696f94cd3d8bbdd234f30d2a52,ROARRR,2792,2,16,37,15,22,0.40540540540540543,0.6336916858928143,0.5240567999827612
0x5a21b0f4a4f9b54e16282b6ed5ad014b3c77186f,La Mouch,2776,2,16,40,15,25,0.375,1.0983901723510048,0.922521676131179
0x66e40f67afd710386379a6bb24d00308f81c183f,Molandaks,2670,2,16,34,15,19,0.4411764705882353,0.8333963950476173,0.326383861683695
0xa980f072bc06d67faec2b03a8ada0d6c9d0da9f8,Legacy Eggs,1716,2,16,41,14,27,0.34146341463414637,1.0976751503624589,1.2182515907371412
0x6ed438b2a8eff227e7e54b5324926941b140eea0,Blocknads,1603,2,16,40,14,26,0.35,0.9513370464730366,1.0189269582473153
0x78ed9a576519024357ab06d9834266a04c9634b7,TheDaks,1442,2,16,40,14,26,0.35,1.2715778986826316,1.3692337528820728
0xc5c9425d733b9f769593bd2814b6301916f91271,Purple Frens,1007,2,16,38,14,24,0.3684210526315789,0.7542502005977272,0.532063297072612
0xf981561d4d9acbb7259682a0e8b9b3a3d6975116,Gmonad,952,2,16,37,13,24,0.35135135135135137,0.4272015896488387,0.531990197736731
0x88bbcba96a52f310497774e7fd5ebadf0ece21fb,Chewy,937,2,16,38,14,24,0.3684210526315789,0.8730714748075594,1.015559992328973
0x6341c537a6fc563029d8e8caa87da37f227358f4,Molandaks Mint Pass,546,2,16,43,14,29,0.32558139534883723,0.5584715866005345,0.7404262430740904
0x553b586f132b6bc2aafec9661d167300262fffdb,Katana Pass,214,3,1,0,0,0,0.0,0.0,0.0
0xd20ef03e432208af083c0fb4e401049f4f29949f,Lil chogstars Superstarlist Pass,899,4,23,43,21,22,0.4883720930232558,0.8218416580036269,0.6140044270383949
0xb981a81b45f604f82bd502a35c6dbe25dd2e8b8d,RealNads Premint Pass,894,4,23,38,21,17,0.5526315789473685,0.648210014878202,0.5124854263556662
0xe6b5427b174344fd5cb1e3d5550306b0055473c6,Chogs Mystery Chest,800,4,23,42,21,21,0.5,1.2116282542955117,1.0643803228941668
0xfe5b5af24280af7ea190a41d0240fe30c46f1c40,HaHa x Mongang Pass,738,4,23,40,20,20,0.5,0.597982571157232,0.4758922076204338
0xf105209830ebcaef5f1b85fb3e7f44256d1af2e3,Moyaking Pass,676,4,23,41,22,19,0.5365853658536586,0.9912967275451412,0.593283933292722
0x3ff5ab5eea49d25ab00b532e9e50b17d5218068c,BOBR,617,4,23,42,22,20,0.5238095238095238,1.3612120069105862,1.0651754509327473
0x7da93750de078bfbbab0dd30635448e9ec7fb8f0,EGGcellent,564,4,23,44,21,23,0.4772727272727273,0.8174462232102799,0.6760795127221432
0xbc8f6824fde979848ad97a52bced2d6ca1842a68,Momo,548,4,23,44,22,22,0.5,1.0116316524165425,0.6550430054538036
0xb0a663cf4853e67221fee43322fda402e21debfc,Llamao Genesis,459,4,23,44,22,22,0.5,0.8064463367592342,0.6568175313704747
0xe06f294f288478671e19dba629ab003839705e95,BUNS,387,4,23,28,19,9,0.6785714285714286,0.43211142738382197,0.1335298655741224
0xe047e7501ac25d3003a8da147648b088d9df0b07,LootGO Looties,350,4,23,42,22,20,0.5238095238095238,0.9201413237653415,0.4263428848125715
0x7427f8f5a390cde438f229e8b4e481677ca98af5,t3mu,322,4,23,42,22,20,0.5238095238095238,1.2128771849423152,0.5460214414700333
0xed52e0d80f4e7b295df5e622b55eff22d262f6ed,r3tards,317,4,23,43,21,22,0.4883720930232558,1.4648403334231188,0.780993819272651
0x3db6c11474893689cdb9d7cdedc251532cadf32b,Mecha Box Mint Pass,294,4,23,45,22,23,0.4888888888888889,0.8923894528930871,0.866858554515237
0xe8f0635591190fb626f9d13c49b60626561ed145,Skrumpets,283,4,23,44,22,22,0.5,0.819837388248229,0.5321701871431541
0x46c66c40711a2953d1768926e53134c7ab272cd5,Blench Pass,281,4,23,44,22,22,0.5,1.1160640238721407,0.624190665345426
