collection_id,collection_name,holder_count,community_id,community_size,total_connections,intra_community_connections,inter_community_connections,community_cohesion_score,intra_community_weight,inter_community_weight
0x3019bf1dfb84e5b46ca9d0eec37de08a59a41308,Nad Name Service,50000,0,1,0,0,0,0.0,0.0,0.0
0xe25c57ff3eea05d0f8be9aaae3f522ddc803ca4e,Monadverse: Chapter 1,38311,1,35,1,1,0,1.0,1.0,0.0
0xa18e1c7c6e8c663c5d835fffd70ef07b482fe884,Monadverse: Chapter 10,19860,1,35,37,28,9,0.7567567567567568,21.944662508499988,4.720081186159005
0x3a9454c1b4c84d1861bb1209a647c834d137b442,The10kSquad,7515,1,35,46,33,13,0.717391304347826,33.0,8.87778153219663
0x4870e911b1986c6822a171cdf91806c3d44ce235,Sealuminati Testnetooor,3551,1,35,47,33,14,0.7021276595744681,32.804032632084564,10.300404437648135
0xa568cabe34c8ca0d2a8671009ae0f6486a314425,Meowwnads,3227,1,35,47,33,14,0.7021276595744681,31.941081760573965,8.313603430574021
0x87e1f1824c9356733a25d6bed6b9c87a3b31e107,Spikes,2888,1,35,47,33,14,0.7021276595744681,33.0,10.062373310511857
0x5a21b0f4a4f9b54e16282b6ed5ad014b3c77186f,La Mouch,2776,1,35,47,33,14,0.7021276595744681,32.770749364418094,9.498585736897224
0x66e40f67afd710386379a6bb24d00308f81c183f,Molandaks,2670,1,35,46,32,14,0.6956521739130435,28.70272398271756,8.876718250743274
0xa980f072bc06d67faec2b03a8ada0d6c9d0da9f8,Legacy Eggs,1716,1,35,47,33,14,0.7021276595744681,32.73744381381347,11.159116414993147
0x6ed438b2a8eff227e7e54b5324926941b140eea0,Blocknads,1603,1,35,45,33,12,0.7333333333333333,33.0,8.038093115928907
0x78ed9a576519024357ab06d9834266a04c9634b7,TheDaks,1442,1,35,47,33,14,0.7021276595744681,32.9493966165049,9.677884352276557
0xc5c9425d733b9f769593bd2814b6301916f91271,Purple Frens,1007,1,35,47,33,14,0.7021276595744681,30.34940328235639,10.750328011294187
0xf981561d4d9acbb7259682a0e8b9b3a3d6975116,Gmonad,952,1,35,47,33,14,0.7021276595744681,30.858335828802428,8.501789994285023
0x88bbcba96a52f310497774e7fd5ebadf0ece21fb,Chewy,937,1,35,47,33,14,0.7021276595744681,32.0173266403081,7.990045209675206
0xb981a81b45f604f82bd502a35c6dbe25dd2e8b8d,RealNads Premint Pass,894,1,35,45,32,13,0.7111111111111111,31.019574978042037,8.406747644497477
0xe6b5427b174344fd5cb1e3d5550306b0055473c6,Chogs Mystery Chest,800,1,35,47,33,14,0.7021276595744681,31.39383361561696,12.170118429668195
0xfe5b5af24280af7ea190a41d0240fe30c46f1c40,HaHa x Mongang Pass,738,1,35,48,33,15,0.6875,31.373656077569105,9.144050621456813
0xf105209830ebcaef5f1b85fb3e7f44256d1af2e3,Moyaking Pass,676,1,35,47,33,14,0.7021276595744681,32.439575275696214,9.176168985152268
0x3ff5ab5eea49d25ab00b532e9e50b17d5218068c,BOBR,617,1,35,47,33,14,0.7021276595744681,32.261671799430154,9.90252055161501
0xbc8f6824fde979848ad97a52bced2d6ca1842a68,Momo,548,1,35,48,33,15,0.6875,33.0,11.656693336947486
0xb0a663cf4853e67221fee43322fda402e21debfc,Llamao Genesis,459,1,35,46,33,13,0.717391304347826,32.16314004807703,11.434545113550783
0xe06f294f288478671e19dba629ab003839705e95,BUNS,387,1,35,45,32,13,0.7111111111111111,23.786431575481636,5.6027592108748205
0xe047e7501ac25d3003a8da147648b088d9df0b07,LootGO Looties,350,1,35,48,33,15,0.6875,31.77705698513784,9.029149268126757
0x7427f8f5a390cde438f229e8b4e481677ca98af5,t3mu,322,1,35,47,33,14,0.7021276595744681,31.94039757553921,10.477934349427947
0xed52e0d80f4e7b295df5e622b55eff22d262f6ed,r3tards,317,1,35,46,32,14,0.6956521739130435,30.786662825932936,10.765018393414584
0x3db6c11474893689cdb9d7cdedc251532cadf32b,Mecha Box Mint Pass,294,1,35,47,33,14,0.7021276595744681,32.65819397599129,12.089039451074628
0xe8f0635591190fb626f9d13c49b60626561ed145,Skrumpets,283,1,35,45,32,13,0.7111111111111111,30.32350750576889,10.617630069029206
0x46c66c40711a2953d1768926e53134c7ab272cd5,Blench Pass,281,1,35,47,33,14,0.7021276595744681,32.74005294832227,11.82416447031868
0x2b9ee0a88d69eef1cffe3ea330165e17fd976c3c,r3tardv3rs3,266,1,35,47,33,14,0.7021276595744681,32.58537295058312,11.648343379355511
0x6aa4872ab4e0fdf078efd17acd45b6352f47c39c,Mon Beans,257,1,35,47,33,14,0.7021276595744681,30.090967165683036,6.525663773477366
