collection_id,collection_name,holder_count,spectral_community_id,spectral_community_size,total_connections,intra_community_connections,inter_community_connections,spectral_community_cohesion_score,intra_community_weight,inter_community_weight
0x3a9454c1b4c84d1861bb1209a647c834d137b442,The10kSquad,7515,0,39,46,38,8,0.8260869565217391,38.0,3.8777815321966296
0x4870e911b1986c6822a171cdf91806c3d44ce235,Sealuminati Testnetooor,3551,0,39,47,38,9,0.8085106382978723,37.804032632084564,5.300404437648136
0xa568cabe34c8ca0d2a8671009ae0f6486a314425,Meowwnads,3227,0,39,47,38,9,0.8085106382978723,36.94108176057396,3.3136034305740205
0x87e1f1824c9356733a25d6bed6b9c87a3b31e107,Spikes,2888,0,39,47,38,9,0.8085106382978723,38.0,5.062373310511856
0x9436689d617dd6696f94cd3d8bbdd234f30d2a52,ROARRR,2792,0,39,47,38,9,0.8085106382978723,37.357766431519195,7.847920454995638
0x5a21b0f4a4f9b54e16282b6ed5ad014b3c77186f,La Mouch,2776,0,39,47,38,9,0.8085106382978723,37.770749364418094,4.4985857368972235
0x66e40f67afd710386379a6bb24d00308f81c183f,Molandaks,2670,0,39,46,37,9,0.8043478260869565,33.57338435774378,4.0060578757170635
0xa980f072bc06d67faec2b03a8ada0d6c9d0da9f8,Legacy Eggs,1716,0,39,47,38,9,0.8085106382978723,38.0,5.89656022880662
0x6ed438b2a8eff227e7e54b5324926941b140eea0,Blocknads,1603,0,39,45,38,7,0.8444444444444444,38.0,3.038093115928907
0x78ed9a576519024357ab06d9834266a04c9634b7,TheDaks,1442,0,39,47,38,9,0.8085106382978723,37.9493966165049,4.677884352276559
0xc5c9425d733b9f769593bd2814b6301916f91271,Purple Frens,1007,0,39,47,38,9,0.8085106382978723,35.317237649054476,5.782493644596097
0xf981561d4d9acbb7259682a0e8b9b3a3d6975116,Gmonad,952,0,39,47,38,9,0.8085106382978723,36.66388603050146,2.6962397925859927
0x88bbcba96a52f310497774e7fd5ebadf0ece21fb,Chewy,937,0,39,47,38,9,0.8085106382978723,37.0173266403081,2.9900452096752064
0xd20ef03e432208af083c0fb4e401049f4f29949f,Lil chogstars Superstarlist Pass,899,0,39,47,38,9,0.8085106382978723,36.97374986170889,6.688812798007525
0xb981a81b45f604f82bd502a35c6dbe25dd2e8b8d,RealNads Premint Pass,894,0,39,45,38,7,0.8444444444444444,37.019574978042044,2.406747644497477
0xe6b5427b174344fd5cb1e3d5550306b0055473c6,Chogs Mystery Chest,800,0,39,47,38,9,0.8085106382978723,37.03062582816655,6.533326217118598
0xfe5b5af24280af7ea190a41d0240fe30c46f1c40,HaHa x Mongang Pass,738,0,39,48,38,10,0.7916666666666666,36.18806016966155,4.3296465293643704
0xf105209830ebcaef5f1b85fb3e7f44256d1af2e3,Moyaking Pass,676,0,39,47,38,9,0.8085106382978723,38.0,3.6157442608484804
0x3ff5ab5eea49d25ab00b532e9e50b17d5218068c,BOBR,617,0,39,47,38,9,0.8085106382978723,37.5811068423007,4.583085508744463
0x7da93750de078bfbbab0dd30635448e9ec7fb8f0,EGGcellent,564,0,39,47,38,9,0.8085106382978723,36.70240269220352,7.206641136969758
0xbc8f6824fde979848ad97a52bced2d6ca1842a68,Momo,548,0,39,48,38,10,0.7916666666666666,38.0,6.656693336947486
0x6341c537a6fc563029d8e8caa87da37f227358f4,Molandaks Mint Pass,546,0,39,47,38,9,0.8085106382978723,34.48195629406674,7.319931523152757
0x49d54cd9ca8c5ecadbb346dc6b4e31549f34e405,Overnads: Whitelist Pass,510,0,39,47,38,9,0.8085106382978723,36.78585457782788,8.70695514252187
0xff59f1e14c4f5522158a0cf029f94475ba469458,Mystery Token,495,0,39,47,38,9,0.8085106382978723,36.85207488698061,8.161554780717939
0xb0a663cf4853e67221fee43322fda402e21debfc,Llamao Genesis,459,0,39,46,38,8,0.8260869565217391,37.16314004807703,6.434545113550785
0xe06f294f288478671e19dba629ab003839705e95,BUNS,387,0,39,45,38,7,0.8444444444444444,27.93981624396627,1.4493745423901858
0xe047e7501ac25d3003a8da147648b088d9df0b07,LootGO Looties,350,0,39,48,38,10,0.7916666666666666,37.29275224421543,3.513454009049168
0x7427f8f5a390cde438f229e8b4e481677ca98af5,t3mu,322,0,39,47,38,9,0.8085106382978723,36.74844000166828,5.669891923298877
0xed52e0d80f4e7b295df5e622b55eff22d262f6ed,r3tards,317,0,39,46,38,8,0.8260869565217391,36.786662825932936,4.765018393414584
0x3db6c11474893689cdb9d7cdedc251532cadf32b,Mecha Box Mint Pass,294,0,39,47,38,9,0.8085106382978723,37.65819397599129,7.089039451074629
0xe8f0635591190fb626f9d13c49b60626561ed145,Skrumpets,283,0,39,45,38,7,0.8444444444444444,35.98647890439189,4.95465867040621
0x46c66c40711a2953d1768926e53134c7ab272cd5,Blench Pass,281,0,39,47,38,9,0.8085106382978723,37.74005294832228,6.8241644703186815
0x2b9ee0a88d69eef1cffe3ea330165e17fd976c3c,r3tardv3rs3,266,0,39,47,38,9,0.8085106382978723,37.907613630216716,6.326102699721919
0x6aa4872ab4e0fdf078efd17acd45b6352f47c39c,Mon Beans,257,0,39,47,38,9,0.8085106382978723,35.14468186204642,1.4719490771139876
0xcd719c599ebc51193c5c97cbe188f43c8c4c8745,Lost Discs,206,0,39,47,38,9,0.8085106382978723,37.02664054008374,5.242582203442884
0x9b72654fca42e3415a0eba357f90fa34ef0b14e4,Poply x Molandaks,196,0,39,47,37,10,0.7872340425531915,29.525265742709227,4.73687851054579
0xd6421e9c72199e971e5a3cde09214054e1216cd2,Mondana Baddies Eye Chain,150,0,39,44,37,7,0.8409090909090909,33.15925909921157,2.2634142871996787
0x8827a10506653af9de490e160ad134e6293d3b47,Monad Nurse,109,0,39,46,38,8,0.8260869565217391,33.50288117665587,2.2493936343333987
0x006300ab0e8969c88dcf2e7c070e6c29b6081c1f,NADSA ADMISSION TICKET,99,0,39,45,37,8,0.8222222222222222,30.94929941535254,2.021981748210041
0x553b586f132b6bc2aafec9661d167300262fffdb,Katana Pass,214,1,1,9,0,9,0.0,0.0,0.7785567475633607
0xe25c57ff3eea05d0f8be9aaae3f522ddc803ca4e,Monadverse: Chapter 1,38311,2,1,1,0,1,0.0,0.0,1.0
0xa18e1c7c6e8c663c5d835fffd70ef07b482fe884,Monadverse: Chapter 10,19860,3,1,37,0,37,0.0,0.0,26.66474369465899
0x26c86f2835c114571df2b6ce9ba52296cc0fa6bb,Lil Chogstars,426,4,8,46,7,39,0.15217391304347827,7.0,27.99773399078906
0x2ace467d5c55d75cf04ae7b9c7672bc499d8e246,Monadverse Genesis Hatch,259,4,8,46,7,39,0.15217391304347827,7.0,15.631527828361147
0x4e88056e13de12bde065589e501033227d8188e6,The Daks Fantasies,206,4,8,48,7,41,0.14583333333333334,7.0,25.673094094478603
0x84db60168be10fb2ae274ea84e24cb22ffe11ddd,Mondana Baddies: Baddie Eye,193,4,8,45,7,38,0.15555555555555556,7.0,26.462213379125274
0xbb406139138401f4475ca5cf2d7152847159eb7a,SpiKeys,171,4,8,46,7,39,0.15217391304347827,7.0,22.021472004521318
0x4bac889f20b9de43734f15379096c98f34154c50,LaMouch x Fantasytop Pass,167,4,8,43,7,36,0.16279069767441862,7.0,16.08785220806044
0x151cf400af08bca390b16582ed6c4f096e4f17eb,DN,110,4,8,47,7,40,0.14893617021276595,7.0,18.24676699601515
0x7370a0a9e9a833bcd071b38fc25184e7afb57aff,Chog Pass,93,4,8,44,7,37,0.1590909090909091,7.0,13.564211051438797
0x3019bf1dfb84e5b46ca9d0eec37de08a59a41308,Nad Name Service,50000,5,1,0,0,0,0.0,0.0,0.0
